stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
12099,,MAIN & FRANKLIN,S MAIN ST & GAINSBOROUGH RD,39.754127,-84.190228,,,,,0
12101,,S MAIN ST @ 5TH ST,,39.756099,-84.190697,,,,,0
12104,,E STEWART ST @ BROWN ST,E Stewart St & Rubicon Rd,39.74102,-84.182991,,,,,0
12105,,IRVING AV @ BROWN ST,,39.733433,-84.17981,,,,,0
12107,,IRVING AV @ LAWNVIEW AV,,39.73382,-84.176907,,,,,0
12109,,IRVING AV @ EVANSTON AV,,39.734321,-84.173821,,,,,0
12110,,IRVING AV @ MAHRT AV,,39.734097,-84.171711,,,,,0
12111,,IRVING AV @ ACACIA DR,,39.733213,-84.169866,,,,,0
12113,,IRVING AV @ MIDBLOCK,,39.732747,-84.16558,,,,,0
12114,,IRVING AV @ FIRWOOD DR,,39.732326,-84.163181,,,,,0
12115,,IRVING AV @ KLING DR,,39.732251,-84.161368,,,,,0
12117,,SHROYER RD @ SHELBY AV,,39.730234,-84.160355,,,,,0
12118,,SHROYER RD @ KREBS AV,,39.728351,-84.160486,,,,,0
12119,,SHROYER RD @ ROY AV,,39.726023,-84.160657,,,,,0
12120,,SHROYER RD @ PATTERSON RD,,39.724932,-84.16077,,,,,0
12121,,PATTERSON RD @ SHROYER RD,,39.724638,-84.160241,,,,,0
12122,,PATTERSON RD @ DEVONSHIRE,,39.724514,-84.15879,,,,,0
12123,,PATTERSON RD @ HAMPSHIRE RD,,39.724385,-84.155966,,,,,0
12125,,PATTERSON RD @ WILMINGTON AV,,39.724112,-84.152714,,,,,0
12126,,PATTERSON RD @ REVERE AV,,39.724063,-84.151112,,,,,0
12127,,PATTERSON RD @ WHITE OAK DR,,39.723937,-84.148882,,,,,0
12128,,PATTERSON RD @ KENMORE AV,,39.723909,-84.146308,,,,,0
12129,,PATTERSON RD @ MARTEL DR,,39.723755,-84.144012,,,,,0
12130,,PATTERSON RD @ S SMITHVILLE RD,,39.723619,-84.142133,,,,,0
12131,,FORRER BLVD @ S SMITHVILLE RD,,39.716106,-84.141625,,,,,0
12132,,FORRER BLVD @ MAYL DR,,39.715988,-84.13973,,,,,0
12133,,FORRER BLVD @ HAZEL AV,,39.715823,-84.136938,,,,,0
12134,,FORRER BLVD @ CULVER AV,,39.715676,-84.133741,,,,,0
12135,,FORRER BLVD @ 2000 FORRER BLVD,,39.71545,-84.129602,,,,,0
12136,,FORRER BLVD @ 2000 FORRER BLVD,,39.715331,-84.127386,,,,,0
12137,,KETTERING REC. CENTER,Glengarry Dr & Vineyard Av,39.695214,-84.114222,,,,,0
12139,,N GETTYSBURG AV @ FRANCES AV (FAR),,39.751223,-84.253029,,,,,0
12140,,N GETTYSBURG AV @ W 2ND ST,,39.754366,-84.253085,,,,,0
12141,,N GETTYSBURG AV @ EDISON ST,,39.756094,-84.253123,,,,,0
12143,,N GETTYSBURG AV @ 900 N GETTYSBU,,39.759646,-84.253207,,,,,0
12144,,N GETTYSBURG AV @ HOOVER AV,,39.761157,-84.253233,,,,,0
12145,,N GETTYSBURG AV @ FAIRBANKS AV,,39.763479,-84.253288,,,,,0
12146,,N GETTYSBURG AV @ DANDRIDGE AV,,39.765458,-84.253306,,,,,0
12147,,N GETTYSBURG AV @ FRUEDENBERGER,,39.768568,-84.253349,,,,,0
12148,,N GETTYSBURG AV @ JAMES H MCGEE,,39.771485,-84.253439,,,,,0
12149,,N GETTYSBURG AV @ LITTLE RICHMON,,39.775984,-84.253612,,,,,0
12150,,N GETTYSBURG AV @  ST JAMES AV,,39.789086,-84.253699,,,,,0
12151,,N GETTYSBURG AV @ HILLCREST AV,,39.790394,-84.253717,,,,,0
12152,,N GETTYSBURG AV @ GOTHAM AV,,39.792315,-84.253711,,,,,0
12153,,N GETTYSBURG AV @ HOLYOKE AV,,39.79467,-84.253733,,,,,0
12154,,FREE PIKE @ N GETTYSBURG AV,,39.798028,-84.25563,,,,,0
12155,,FREE PIKE @ ENGLAND AV,,39.797973,-84.258393,,,,,0
